"","location","hits","keyword","geo","gprop"
"62","Missouri",77,"health care","US","web"
"63","Delaware",74,"health care","US","web"
"64","Ohio",74,"health care","US","web"
"65","Maine",73,"health care","US","web"
"66","Rhode Island",71,"health care","US","web"
"67","Pennsylvania",71,"health care","US","web"
"68","Iowa",71,"health care","US","web"
"69","South Carolina",71,"health care","US","web"
"70","Colorado",70,"health care","US","web"
"71","Michigan",68,"health care","US","web"
"72","New Hampshire",68,"health care","US","web"
"73","Vermont",67,"health care","US","web"
"74","New York",67,"health care","US","web"
"75","California",67,"health care","US","web"
"76","Oregon",66,"health care","US","web"
"77","Indiana",65,"health care","US","web"
"78","New Jersey",65,"health care","US","web"
"79","Montana",65,"health care","US","web"
"80","New Mexico",63,"health care","US","web"
"81","Kentucky",63,"health care","US","web"
"82","Illinois",63,"health care","US","web"
"83","Oklahoma",63,"health care","US","web"
"84","Alabama",63,"health care","US","web"
"85","Nevada",63,"health care","US","web"
"86","Virginia",62,"health care","US","web"
"87","South Dakota",61,"health care","US","web"
"88","Arkansas",61,"health care","US","web"
"89","Idaho",61,"health care","US","web"
"90","Louisiana",61,"health care","US","web"
"91","Mississippi",60,"health care","US","web"
"92","Washington",60,"health care","US","web"
"93","Nebraska",59,"health care","US","web"
"94","Kansas",58,"health care","US","web"
"95","Georgia",57,"health care","US","web"
"96","Texas",57,"health care","US","web"
"97","Tennessee",57,"health care","US","web"
"98","North Dakota",56,"health care","US","web"
"99","Hawaii",54,"health care","US","web"
"100","Wyoming",54,"health care","US","web"
"101","Alaska",51,"health care","US","web"
"102","Utah",51,"health care","US","web"
"103","District of Columbia",100,"Supreme Court","US","web"
"104","Montana",45,"Supreme Court","US","web"
"105","Vermont",34,"Supreme Court","US","web"
"106","Virginia",32,"Supreme Court","US","web"
"107","Maryland",32,"Supreme Court","US","web"
"108","Wyoming",32,"Supreme Court","US","web"
"109","Arizona",30,"Supreme Court","US","web"
"110","Oregon",29,"Supreme Court","US","web"
"111","Idaho",29,"Supreme Court","US","web"
"112","North Dakota",28,"Supreme Court","US","web"
"113","Delaware",27,"Supreme Court","US","web"
"114","Pennsylvania",27,"Supreme Court","US","web"
"115","New Hampshire",27,"Supreme Court","US","web"
"116","Missouri",27,"Supreme Court","US","web"
"117","Rhode Island",27,"Supreme Court","US","web"
"118","West Virginia",27,"Supreme Court","US","web"
"119","New Mexico",27,"Supreme Court","US","web"
"120","Ohio",27,"Supreme Court","US","web"
"121","Washington",26,"Supreme Court","US","web"
"122","New York",26,"Supreme Court","US","web"
"123","Georgia",26,"Supreme Court","US","web"
"124","Maine",26,"Supreme Court","US","web"
"125","Minnesota",26,"Supreme Court","US","web"
"126","Illinois",26,"Supreme Court","US","web"
"127","Indiana",26,"Supreme Court","US","web"
"128","South Dakota",26,"Supreme Court","US","web"
"129","Oklahoma",26,"Supreme Court","US","web"
"130","Michigan",26,"Supreme Court","US","web"
"131","Florida",26,"Supreme Court","US","web"
"132","North Carolina",25,"Supreme Court","US","web"
"133","Alaska",25,"Supreme Court","US","web"
"134","Nebraska",25,"Supreme Court","US","web"
"135","Colorado",25,"Supreme Court","US","web"
"136","California",25,"Supreme Court","US","web"
"137","Wisconsin",25,"Supreme Court","US","web"
"138","Connecticut",24,"Supreme Court","US","web"
"139","Massachusetts",24,"Supreme Court","US","web"
"140","New Jersey",24,"Supreme Court","US","web"
"141","Iowa",24,"Supreme Court","US","web"
"142","Kansas",23,"Supreme Court","US","web"
"143","Alabama",23,"Supreme Court","US","web"
"144","Tennessee",23,"Supreme Court","US","web"
"145","Texas",22,"Supreme Court","US","web"
"146","Nevada",22,"Supreme Court","US","web"
"147","Mississippi",22,"Supreme Court","US","web"
"148","South Carolina",22,"Supreme Court","US","web"
"149","Louisiana",21,"Supreme Court","US","web"
"150","Kentucky",21,"Supreme Court","US","web"
"151","Arkansas",20,"Supreme Court","US","web"
"152","Hawaii",20,"Supreme Court","US","web"
"153","Utah",20,"Supreme Court","US","web"
"154","District of Columbia",100,"foreign policy","US","web"
"155","Oklahoma",26,"foreign policy","US","web"
"156","North Carolina",25,"foreign policy","US","web"
"157","Florida",25,"foreign policy","US","web"
"158","Maryland",24,"foreign policy","US","web"
"159","Virginia",23,"foreign policy","US","web"
"160","Texas",23,"foreign policy","US","web"
"161","Louisiana",23,"foreign policy","US","web"
"162","Indiana",22,"foreign policy","US","web"
"163","Iowa",21,"foreign policy","US","web"
"164","Georgia",21,"foreign policy","US","web"
"165","Rhode Island",20,"foreign policy","US","web"
"166","Arkansas",20,"foreign policy","US","web"
"167","South Carolina",20,"foreign policy","US","web"
"168","California",20,"foreign policy","US","web"
"169","Mississippi",19,"foreign policy","US","web"
"170","Kansas",18,"foreign policy","US","web"
"171","Idaho",18,"foreign policy","US","web"
"172","Arizona",18,"foreign policy","US","web"
"173","Michigan",17,"foreign policy","US","web"
"174","Alabama",17,"foreign policy","US","web"
"175","Pennsylvania",17,"foreign policy","US","web"
"176","South Dakota",16,"foreign policy","US","web"
"177","New York",16,"foreign policy","US","web"
"178","New Jersey",16,"foreign policy","US","web"
"179","Missouri",16,"foreign policy","US","web"
"180","New Mexico",15,"foreign policy","US","web"
"181","Nevada",15,"foreign policy","US","web"
"182","Utah",15,"foreign policy","US","web"
"183","Hawaii",15,"foreign policy","US","web"
"184","Delaware",15,"foreign policy","US","web"
"185","Alaska",15,"foreign policy","US","web"
"186","Kentucky",14,"foreign policy","US","web"
"187","Ohio",14,"foreign policy","US","web"
"188","Illinois",14,"foreign policy","US","web"
"189","North Dakota",14,"foreign policy","US","web"
"190","Washington",14,"foreign policy","US","web"
"191","Connecticut",14,"foreign policy","US","web"
"192","Minnesota",13,"foreign policy","US","web"
"193","Wyoming",13,"foreign policy","US","web"
"194","Wisconsin",13,"foreign policy","US","web"
"195","New Hampshire",13,"foreign policy","US","web"
"196","Maine",12,"foreign policy","US","web"
"197","Tennessee",12,"foreign policy","US","web"
"198","Massachusetts",12,"foreign policy","US","web"
"199","Colorado",12,"foreign policy","US","web"
"200","Nebraska",11,"foreign policy","US","web"
"201","West Virginia",10,"foreign policy","US","web"
"202","Montana",10,"foreign policy","US","web"
"203","Vermont",9,"foreign policy","US","web"
"204","Oregon",9,"foreign policy","US","web"
"205","District of Columbia",100,"violent crime","US","web"
"206","New Mexico",79,"violent crime","US","web"
"207","North Dakota",75,"violent crime","US","web"
"208","Wyoming",74,"violent crime","US","web"
"209","Rhode Island",68,"violent crime","US","web"
"210","Colorado",63,"violent crime","US","web"
"211","Oklahoma",63,"violent crime","US","web"
"212","Alaska",59,"violent crime","US","web"
"213","Kansas",58,"violent crime","US","web"
"214","Nebraska",57,"violent crime","US","web"
"215","Idaho",57,"violent crime","US","web"
"216","South Carolina",56,"violent crime","US","web"
"217","New Hampshire",53,"violent crime","US","web"
"218","Wisconsin",52,"violent crime","US","web"
"219","South Dakota",52,"violent crime","US","web"
"220","Alabama",51,"violent crime","US","web"
"221","Oregon",51,"violent crime","US","web"
"222","Virginia",51,"violent crime","US","web"
"223","Washington",50,"violent crime","US","web"
"224","Maine",50,"violent crime","US","web"
"225","Maryland",49,"violent crime","US","web"
"226","Mississippi",49,"violent crime","US","web"
"227","Utah",49,"violent crime","US","web"
"228","West Virginia",48,"violent crime","US","web"
"229","Minnesota",47,"violent crime","US","web"
"230","Illinois",47,"violent crime","US","web"
"231","Arizona",46,"violent crime","US","web"
"232","Michigan",46,"violent crime","US","web"
"233","Indiana",46,"violent crime","US","web"
"234","North Carolina",45,"violent crime","US","web"
"235","Georgia",45,"violent crime","US","web"
"236","Arkansas",45,"violent crime","US","web"
"237","California",45,"violent crime","US","web"
"238","Tennessee",45,"violent crime","US","web"
"239","New Jersey",45,"violent crime","US","web"
"240","Missouri",44,"violent crime","US","web"
"241","Massachusetts",43,"violent crime","US","web"
"242","Florida",42,"violent crime","US","web"
"243","Connecticut",41,"violent crime","US","web"
"244","Ohio",41,"violent crime","US","web"
"245","Louisiana",41,"violent crime","US","web"
"246","Texas",40,"violent crime","US","web"
"247","Pennsylvania",39,"violent crime","US","web"
"248","Kentucky",39,"violent crime","US","web"
"249","Montana",37,"violent crime","US","web"
"250","Nevada",37,"violent crime","US","web"
"251","New York",36,"violent crime","US","web"
"252","Iowa",32,"violent crime","US","web"
"253","Hawaii",26,"violent crime","US","web"
"254","Vermont",NA,"violent crime","US","web"
"255","Delaware",NA,"violent crime","US","web"
